1,1460,930,1250,1740,00:11:30,6,6,5,1
2,1870,1190,1600,2225,00:19:30,3,9,6,2
3,2390,1525,2050,2850,00:30:00,3,12,7,3
4,3060,1950,2620,3650,00:48:00,3,15,8,4
5,3920,2495,3355,4670,01:38:00,3,18,10,5
6,5015,3195,4295,5980,03:30:00,4,22,12,6
7,6420,4090,5500,7655,05:10:00,4,26,14,7
8,8220,5235,7035,9795,07:05:00,4,30,17,8
9,10520,6700,9005,12540,08:30:00,4,34,21,9
10,13465,8580,11530,16050,09:45:00,4,38,25,10
11,17235,10980,14755,20540,11:50:00,4,42,30,11
12,22065,14055,18890,26295,13:55:00,4,46,36,12
13,28240,17990,24180,33655,16:25:00,4,50,43,13
14,36150,23025,30950,43080,18:30:00,4,54,51,14
15,46270,29475,39615,55145,21:25:00,4,58,62,15
16,59225,37725,50705,70585,23:55:00,5,63,74,16
17,75810,48290,64905,90345,27:40:00,5,68,89,17
18,97035,61810,83075,115645,32:40:00,5,73,106,18
19,124205,79115,106340,148025,37:40:00,5,78,128,19
20,158980,101270,136115,189470,42:40:00,5,83,153,20
