1,70,90,170,70,00:00:35,0,0,1,3
2,90,115,220,90,00:04:15,0,0,1,6
3,115,145,280,115,00:09:05,0,0,2,9
4,145,190,355,145,00:17:00,0,0,2,13
5,190,240,455,190,00:40:00,0,0,2,16
6,240,310,585,240,01:31:00,1,1,3,19
7,310,395,750,310,02:15:00,1,2,4,23
8,395,505,955,395,03:10:00,1,3,4,27
9,505,650,1225,505,03:50:00,1,4,5,31
10,645,830,1570,645,04:20:00,1,5,6,34
11,825,1065,2005,825,05:20:00,1,6,7,38
12,1060,1360,2570,1060,06:15:00,1,7,9,43
13,1355,1740,3290,1355,07:25:00,1,8,11,47
14,1735,2230,4210,1735,08:20:00,1,9,13,51
15,2220,2850,5390,2220,09:40:00,1,10,15,56
16,2840,3650,6895,2840,10:50:00,2,12,18,61
17,3635,4675,8825,3635,12:30:00,2,14,22,65
18,4650,5980,11300,4650,14:50:00,2,16,27,70
19,5955,7655,14460,5955,17:05:00,2,18,32,75
20,7620,9800,18510,7620,19:25:00,2,20,38,81
