1,120,200,0,80,00:00:35,0,0,1,2
2,155,255,0,100,00:04:15,0,0,1,4
3,195,330,0,130,00:09:05,0,0,2,6
4,250,420,0,170,00:17:00,0,0,2,8
5,320,535,0,215,00:40:00,0,0,2,10
6,410,685,0,275,01:31:00,1,1,3,13
7,530,880,0,350,02:15:00,1,2,4,15
8,675,1125,0,450,03:10:00,1,3,4,17
9,865,1440,0,575,03:50:00,1,4,5,20
10,1105,1845,0,740,04:20:00,1,5,6,22
11,1415,2360,0,945,05:20:00,1,6,7,24
12,1815,3020,0,1210,06:15:00,1,7,9,27
13,2320,3870,0,1545,07:25:00,1,8,11,29
14,2970,4950,0,1980,08:20:00,1,9,13,32
15,3805,6340,0,2535,09:40:00,1,10,15,35
16,4870,8115,0,3245,10:50:00,2,12,18,37
17,6230,10385,0,4155,12:30:00,2,14,22,40
18,7975,13290,0,5315,14:50:00,2,16,27,43
19,10210,17015,0,6805,17:05:00,2,18,32,46
20,13065,21780,0,8710,19:25:00,2,20,38,49
