1,180,130,150,80,00:00:35,3,3,5
2,930,890,930,320,00:04:25,2,5,6
3,1240,1185,1240,425,00:09:25,2,7,7
4,1645,1575,1645,565,00:17:30,2,9,8
5,2190,2095,2190,750,00:41:00,2,11,10
6,2915,2790,2915,1000,01:34:00,2,13,12
7,3875,3710,3875,1330,02:20:00,2,15,14
8,5155,4930,5155,1765,03:15:00,2,17,17
9,6855,6560,6855,2350,03:55:00,2,19,21
10,9115,8725,9115,3125,04:30:00,2,21,25
11,12125,11605,12125,4155,05:30:00,3,24,30
12,16125,15435,16125,5530,06:30:00,3,27,36
13,21445,20525,21445,7350,07:40:00,3,30,43
14,28520,27300,28520,9780,08:40:00,3,33,51
15,37935,36310,37935,13005,10:00:00,3,36,62
16,50450,48290,50450,17300,11:15:00,3,39,74
17,67100,64225,67100,23005,13:00:00,3,42,89
18,89245,85420,89245,30600,15:20:00,3,45,106
19,118695,113605,118695,40695,17:40:00,3,48,128
20,157865,151095,157865,54125,20:05:00,3,51,153
