1,630,420,780,360,00:11:00,4,4,1,100
2,805,540,1000,460,00:16:00,2,6,1,90
3,1030,690,1280,590,00:23:00,2,8,2,81
4,1320,880,1635,755,00:34:00,2,10,2,73
5,1690,1125,2095,965,01:07:00,2,12,2,66
6,2165,1445,2680,1235,02:20:00,3,15,3,59
7,2770,1845,3430,1585,03:25:00,3,18,4,53
8,3545,2365,4390,2025,04:40:00,3,21,4,48
9,4540,3025,5620,2595,05:35:00,3,24,5,43
10,5810,3875,7195,3320,06:25:00,3,27,6,39
11,7440,4960,9210,4250,07:45:00,3,30,7,35
12,9520,6345,11785,5440,09:10:00,3,33,9,31
13,12185,8125,15085,6965,10:45:00,3,36,11,28
14,15600,10400,19310,8915,12:05:00,3,39,13,25
15,19965,13310,24720,11410,14:00:00,3,42,15,23
16,25555,17035,31640,14605,15:40:00,4,46,18,21
17,32710,21810,40500,18690,18:05:00,4,50,22,19
18,41870,27915,51840,23925,21:20:00,4,54,27,17
19,53595,35730,66355,30625,24:35:00,4,58,32,15
20,68600,45735,84935,39200,27:55:00,4,62,38,14
