1,780,420,660,300,00:11:00,5,5,2,100
2,1000,540,845,385,00:16:00,3,8,3,90
3,1280,690,1080,490,00:23:00,3,11,3,81
4,1635,880,1385,630,00:34:00,3,14,4,73
5,2095,1125,1770,805,01:07:00,3,17,5,66
6,2680,1445,2270,1030,02:20:00,3,20,6,59
7,3430,1845,2905,1320,03:25:00,3,23,7,53
8,4390,2365,3715,1690,04:35:00,3,26,9,48
9,5620,3025,4755,2160,05:35:00,3,29,10,43
10,7195,3875,6085,2765,06:25:00,3,32,12,39
11,9210,4960,7790,3540,07:45:00,4,36,15,35
12,11785,6345,9975,4535,09:05:00,4,40,18,31
13,15085,8125,12765,5805,10:40:00,4,44,21,28
14,19310,10400,16340,7430,12:05:00,4,48,26,25
15,24720,13310,20915,9505,13:55:00,4,52,31,23
16,31640,17035,26775,12170,15:35:00,4,56,37,21
17,40500,21810,34270,15575,18:00:00,4,60,44,19
18,51840,27915,43865,19940,21:15:00,4,64,53,17
19,66355,35730,56145,25520,24:30:00,4,68,64,15
20,84935,45735,71870,32665,27:40:00,4,72,77,14
