1,780,420,660,540,00:11:00,5,5,4,1
2,1000,540,845,690,00:16:30,3,8,4,2
3,1280,690,1080,885,00:23:30,3,11,5,3
4,1635,880,1385,1130,00:35:00,3,14,6,4
5,2095,1125,1770,1450,01:09:00,3,17,7,5
6,2680,1445,2270,1855,02:25:00,3,20,9,6
7,3430,1845,2905,2375,03:35:00,3,23,11,7
8,4390,2365,3715,3040,04:50:00,3,26,13,8
9,5620,3025,4755,3890,05:50:00,3,29,15,9
10,7195,3875,6085,4980,06:40:00,3,32,19,10
11,9210,4960,7790,6375,08:05:00,4,36,22,11
12,11785,6345,9975,8160,09:30:00,4,40,27,12
13,15085,8125,12765,10445,11:10:00,4,44,32,13
14,19310,10400,16340,13370,12:35:00,4,48,39,14
15,24720,13310,20915,17115,14:30:00,4,52,46,15
16,31640,17035,26775,21905,16:15:00,4,56,55,16
17,40500,21810,34270,28040,18:45:00,4,60,67,17
18,51840,27915,43865,35890,22:10:00,4,64,80,18
19,66355,35730,56145,45940,25:30:00,4,68,96,19
20,84935,45735,71870,58800,28:55:00,4,72,115,20
