1,70,40,60,20,00:00:30,2,2,2,100
2,95,55,80,25,00:04:05,1,3,3,96
3,125,70,105,35,00:08:20,1,4,3,93
4,165,95,140,45,00:15:00,1,5,4,90
5,220,125,190,65,00:34:00,1,6,5,86
6,290,165,250,85,01:14:00,2,8,6,83
7,385,220,330,110,01:50:00,2,10,7,80
8,515,295,440,145,02:25:00,2,12,9,77
9,685,390,585,195,02:45:00,2,14,10,75
10,910,520,780,260,03:05:00,2,16,12,72
11,1210,695,1040,345,03:35:00,2,18,15,69
12,1610,920,1380,460,04:05:00,2,20,18,67
13,2145,1225,1840,615,04:40:00,2,22,21,64
14,2850,1630,2445,815,05:05:00,2,24,26,62
15,3795,2170,3250,1085,05:40:00,2,26,31,60
16,5045,2885,4325,1440,06:10:00,3,29,37,58
17,6710,3835,5750,1915,06:55:00,3,32,44,56
18,8925,5100,7650,2550,07:45:00,3,35,53,54
19,11870,6780,10175,3390,08:40:00,3,38,64,52
20,15785,9020,13530,4510,09:30:00,3,41,77,50
