1,550,800,750,250,01:01:00,1,1,6
2,705,1025,960,320,01:06:00,1,2,7
3,900,1310,1230,410,01:13:00,1,3,9
4,1155,1680,1575,525,01:25:00,1,4,10
5,1475,2145,2015,670,01:58:00,1,5,12
6,1890,2750,2575,860,03:15:00,1,6,15
7,2420,3520,3300,1100,04:20:00,1,7,18
8,3095,4505,4220,1405,05:35:00,1,8,21
9,3965,5765,5405,1800,06:35:00,1,9,26
10,5075,7380,6920,2305,07:25:00,1,10,31
11,6495,9445,8855,2950,08:50:00,2,12,37
12,8310,12090,11335,3780,10:10:00,2,14,45
13,10640,15475,14505,4835,11:50:00,2,16,53
14,13615,19805,18570,6190,13:15:00,2,18,64
15,17430,25355,23770,7925,15:10:00,2,20,77
16,22310,32450,30425,10140,16:50:00,2,22,92
17,28560,41540,38940,12980,19:20:00,2,24,111
18,36555,53170,49845,16615,22:45:00,2,26,133
19,46790,68055,63805,21270,26:05:00,2,28,160
20,59890,87110,81670,27225,29:25:00,2,30,192
