1,160,100,80,60,00:00:35,0,0,1,2
2,205,130,100,75,00:04:15,0,0,1,5
3,260,165,130,100,00:09:05,0,0,2,8
4,335,210,170,125,00:17:00,0,0,2,10
5,430,270,215,160,00:40:00,0,0,2,13
6,550,345,275,205,01:31:00,1,1,3,16
7,705,440,350,265,02:15:00,1,2,4,19
8,900,565,450,340,03:10:00,1,3,4,22
9,1155,720,575,430,03:50:00,1,4,5,25
10,1475,920,740,555,04:20:00,1,5,6,28
11,1890,1180,945,710,05:20:00,1,6,7,31
12,2420,1510,1210,905,06:15:00,1,7,9,35
13,3095,1935,1545,1160,07:25:00,1,8,11,38
14,3960,2475,1980,1485,08:20:00,1,9,13,41
15,5070,3170,2535,1900,09:40:00,1,10,15,45
16,6490,4055,3245,2435,10:50:00,2,12,18,49
17,8310,5190,4155,3115,12:30:00,2,14,22,52
18,10635,6645,5315,3990,14:50:00,2,16,27,56
19,13610,8505,6805,5105,17:05:00,2,18,32,60
20,17420,10890,8710,6535,19:25:00,2,20,38,64
