1,110,160,90,70,00:00:35,1,1,1
2,145,215,120,95,00:04:20,1,2,1
3,195,285,160,125,00:09:10,1,3,2
4,260,375,210,165,00:17:30,1,4,2
5,345,500,280,220,00:40:00,1,5,2
6,460,665,375,290,01:32:00,1,6,3
7,610,885,500,385,02:20:00,1,7,4
8,810,1180,665,515,03:10:00,1,8,4
9,1075,1565,880,685,03:50:00,1,9,5
10,1430,2085,1170,910,04:25:00,1,10,6
11,1905,2770,1560,1210,05:20:00,2,12,7
12,2535,3685,2075,1610,06:20:00,2,14,9
13,3370,4900,2755,2145,07:30:00,2,16,11
14,4480,6520,3665,2850,08:25:00,2,18,13
15,5960,8670,4875,3795,09:45:00,2,20,15
16,7930,11530,6485,5045,10:55:00,2,22,18
17,10545,15335,8625,6710,12:40:00,2,24,22
18,14025,20400,11475,8925,14:55:00,2,26,27
19,18650,27130,15260,11870,17:15:00,2,28,32
20,24805,36085,20295,15785,19:35:00,2,30,38
