1,180,250,500,160,00:00:40,4,4,2
2,230,320,640,205,00:05:00,2,6,3
3,295,410,820,260,00:10:30,2,8,3
4,375,525,1050,335,00:20:00,2,10,4
5,485,670,1340,430,00:47:00,2,12,5
6,620,860,1720,550,01:46:00,3,15,6
7,790,1100,2200,705,02:40:00,3,18,7
8,1015,1405,2815,900,03:40:00,3,21,9
9,1295,1800,3605,1155,04:25:00,3,24,10
10,1660,2305,4610,1475,05:05:00,3,27,12
11,2125,2950,5905,1890,06:10:00,3,30,15
12,2720,3780,7555,2420,07:20:00,3,33,18
13,3480,4835,9670,3095,08:40:00,3,36,21
14,4455,6190,12380,3960,09:45:00,3,39,26
15,5705,7925,15845,5070,11:20:00,3,42,31
16,7300,10140,20280,6490,12:40:00,4,46,37
17,9345,12980,25960,8310,14:40:00,4,50,44
18,11965,16615,33230,10635,17:15:00,4,54,53
19,15315,21270,42535,13610,19:55:00,4,58,64
20,19600,27225,54445,17420,22:35:00,4,62,77
