1,260,140,220,100,00:00:40,5,5,2,100
2,345,185,295,135,00:04:55,3,8,3,90
3,460,250,390,175,00:10:30,3,11,3,81
4,610,330,520,235,00:19:30,3,14,4,73
5,815,440,690,315,00:46:00,3,17,5,66
6,1080,585,915,415,01:44:00,3,20,6,59
7,1440,775,1220,555,02:35:00,3,23,7,53
8,1915,1030,1620,735,03:35:00,3,26,9,48
9,2545,1370,2155,980,04:20:00,3,29,10,43
10,3385,1825,2865,1300,05:00:00,3,32,12,39
11,4505,2425,3810,1730,06:05:00,4,36,15,35
12,5990,3225,5065,2305,07:10:00,4,40,18,31
13,7965,4290,6740,3065,08:25:00,4,44,21,28
14,10595,5705,8965,4075,09:30:00,4,48,26,25
15,14090,7585,11920,5420,11:05:00,4,52,31,23
16,18740,10090,15855,7205,12:20:00,4,56,37,21
17,24925,13420,21090,9585,14:20:00,4,60,44,19
18,33150,17850,28050,12750,16:55:00,4,64,53,17
19,44085,23740,37305,16955,19:30:00,4,68,64,15
20,58635,31575,49615,22550,22:05:00,4,72,77,14
