1,155,130,125,70,00:00:35,2,2,1,110
2,200,165,160,90,00:04:20,1,3,1,120
3,255,215,205,115,00:09:15,1,4,2,130
4,325,275,260,145,00:17:30,1,5,2,140
5,415,350,335,190,00:41:00,1,6,2,150
6,535,445,430,240,01:33:00,2,8,3,160
7,680,570,550,310,02:20:00,2,10,4,170
8,875,730,705,395,03:10:00,2,12,4,180
9,1115,935,900,505,03:50:00,2,14,5,190
10,1430,1200,1155,645,04:25:00,2,16,6,200
11,1830,1535,1475,825,05:25:00,2,18,7,210
12,2340,1965,1890,1060,06:25:00,2,20,9,220
13,3000,2515,2420,1355,07:30:00,2,22,11,230
14,3840,3220,3095,1735,08:30:00,2,24,13,240
15,4910,4120,3960,2220,09:50:00,2,26,15,250
16,6290,5275,5070,2840,11:00:00,3,29,18,260
17,8050,6750,6490,3635,12:45:00,3,32,22,270
18,10300,8640,8310,4650,15:05:00,3,35,27,280
19,13185,11060,10635,5955,17:25:00,3,38,32,290
20,16880,14155,13610,7620,19:45:00,3,41,38,300
