1,1750,2250,1530,240,00:06:20,1,1,1,10
2,2240,2880,1960,305,00:15:00,1,2,1,20
3,2865,3685,2505,395,00:26:00,1,3,2,30
4,3670,4720,3210,505,00:44:00,1,4,2,40
5,4700,6040,4105,645,01:36:00,1,5,2,50
6,6015,7730,5255,825,03:35:00,1,6,3,60
7,7695,9895,6730,1055,05:20:00,1,7,4,70
8,9850,12665,8615,1350,07:15:00,1,8,4,80
9,12610,16215,11025,1730,08:45:00,1,9,5,90
10,16140,20755,14110,2215,10:05:00,1,10,6,100
11,20660,26565,18065,2835,12:15:00,2,12,7,110
12,26445,34000,23120,3625,14:25:00,2,14,9,120
13,33850,43520,29595,4640,17:05:00,2,16,11,130
14,43330,55705,37880,5940,19:15:00,2,18,13,140
15,55460,71305,48490,7605,22:15:00,2,20,15,150
16,70990,91270,62065,9735,24:55:00,2,22,18,160
17,90865,116825,79440,12460,28:50:00,2,24,22,170
18,116305,149540,101685,15950,34:00:00,2,26,27,180
19,148875,191410,130160,20415,39:15:00,2,28,32,190
20,190560,245005,166600,26135,44:25:00,2,30,38,200
