1,1250,1110,1260,600,00:11:00,4,4,6
2,1600,1420,1615,770,00:18:00,2,6,7
3,2050,1820,2065,985,00:27:30,2,8,9
4,2620,2330,2640,1260,00:43:00,2,10,10
5,3355,2980,3380,1610,01:27:00,2,12,12
6,4295,3815,4330,2060,03:05:00,3,15,15
7,5500,4880,5540,2640,04:35:00,3,18,18
8,7035,6250,7095,3380,06:10:00,3,21,21
9,9005,8000,9080,4325,07:30:00,3,24,26
10,11530,10240,11620,5535,08:35:00,3,27,31
11,14755,13105,14875,7085,10:25:00,3,30,37
12,18890,16775,19040,9065,12:15:00,3,33,45
13,24180,21470,24370,11605,14:25:00,3,36,53
14,30950,27480,31195,14855,16:15:00,3,39,64
15,39615,35175,39930,19015,18:45:00,3,42,77
16,50705,45025,51110,24340,21:00:00,4,46,92
17,64905,57635,65425,31155,24:15:00,4,50,111
18,83075,73770,83740,39875,28:40:00,4,54,133
19,106340,94430,107190,51040,33:00:00,4,58,160
20,136115,120870,137200,65335,37:25:00,4,62,192
