1,1400,1330,1200,400,00:06:05,3,3,4
2,1790,1700,1535,510,00:13:30,2,5,4
3,2295,2180,1965,655,00:23:00,2,7,5
4,2935,2790,2515,840,00:38:00,2,9,6
5,3760,3570,3220,1075,01:23:00,2,11,7
6,4810,4570,4125,1375,03:05:00,2,13,9
7,6155,5850,5280,1760,04:30:00,2,15,11
8,7880,7485,6755,2250,06:10:00,2,17,13
9,10090,9585,8645,2880,07:30:00,2,19,15
10,12915,12265,11070,3690,08:35:00,2,21,19
11,16530,15700,14165,4720,10:25:00,3,24,22
12,21155,20100,18135,6045,12:20:00,3,27,27
13,27080,25725,23210,7735,14:30:00,3,30,32
14,34660,32930,29710,9905,16:20:00,3,33,39
15,44370,42150,38030,12675,18:55:00,3,36,46
16,56790,53950,48680,16225,21:10:00,3,39,55
17,72690,69060,62310,20770,24:30:00,3,42,67
18,93045,88395,79755,26585,28:55:00,3,45,80
19,119100,113145,102085,34030,33:25:00,3,48,96
20,152445,144825,130670,43555,37:50:00,3,51,115
