1,80,120,70,90,00:00:35,4,4,1,10
2,105,160,95,120,00:04:15,2,6,1,22
3,140,210,125,160,00:09:00,2,8,2,35
4,190,280,165,210,00:17:00,2,10,2,49
5,250,375,220,280,00:40:00,2,12,2,64
6,335,500,290,375,01:30:00,3,15,3,80
7,445,665,385,500,02:15:00,3,18,4,97
8,590,885,515,665,03:05:00,3,21,4,115
9,785,1175,685,880,03:45:00,3,24,5,134
10,1040,1565,910,1170,04:20:00,3,27,6,154
11,1385,2080,1210,1560,05:15:00,3,30,7,175
12,1845,2765,1610,2075,06:15:00,3,33,9,196
13,2450,3675,2145,2755,07:20:00,3,36,11,218
14,3260,4890,2850,3665,08:15:00,3,39,13,241
15,4335,6505,3795,4875,09:35:00,3,42,15,265
16,5765,8650,5045,6485,10:45:00,4,46,18,290
17,7670,11505,6710,8625,12:25:00,4,50,22,316
18,10200,15300,8925,11475,14:40:00,4,54,27,343
19,13565,20345,11870,15260,16:55:00,4,58,32,371
20,18040,27060,15785,20295,19:15:00,4,62,38,400
