1,720,685,645,250,00:34:00,4,4,7,100
2,1815,1725,1625,625,00:42:00,2,6,9,200
3,2285,2175,2050,785,00:52:00,2,8,10,300
4,2880,2740,2580,990,01:08:00,2,10,12,400
5,3630,3455,3250,1250,01:53:00,2,12,15,500
6,4575,4350,4095,1570,03:35:00,3,15,18,600
7,5760,5480,5160,1980,05:10:00,3,18,21,700
8,7260,6905,6505,2495,06:50:00,3,21,26,800
9,9150,8705,8195,3145,08:10:00,3,24,31,900
10,11525,10965,10325,3960,09:20:00,3,27,37,1000
11,14525,13815,13010,4990,11:15:00,3,30,45,1250
12,18300,17410,16395,6290,13:10:00,3,33,53,1500
13,23055,21935,20655,7925,15:25:00,3,36,64,1750
14,29050,27640,26025,9985,17:20:00,3,39,77,2000
15,36605,34825,32795,12585,20:00:00,3,42,92,2250
16,46125,43880,41320,15855,22:20:00,4,46,111,2500
17,58115,55290,52060,19975,25:45:00,4,50,133,2750
18,73225,69665,65600,25170,30:20:00,4,54,160,3000
19,92265,87780,82655,31715,34:55:00,4,58,192,3500
20,116255,110600,104145,39960,39:30:00,4,62,230,4000
