1,740,850,960,620,00:05:55,4,4,4,1
2,945,1090,1230,795,00:12:00,2,6,4,2
3,1210,1395,1575,1015,00:20:00,2,8,5,3
4,1550,1785,2015,1300,00:34:00,2,10,6,4
5,1985,2280,2575,1665,01:12:00,2,12,7,5
6,2545,2920,3300,2130,02:35:00,3,15,9,6
7,3255,3740,4220,2725,03:55:00,3,18,11,7
8,4165,4785,5405,3490,05:20:00,3,21,13,8
9,5330,6125,6920,4470,06:25:00,3,24,15,9
10,6825,7840,8855,5720,07:20:00,3,27,19,10
11,8735,10035,11335,7320,08:55:00,3,30,22,11
12,11185,12845,14505,9370,10:30:00,3,33,27,12
13,14315,16440,18570,11995,12:25:00,3,36,32,13
14,18320,21045,23770,15350,14:00:00,3,39,39,15
15,23450,26940,30425,19650,16:15:00,3,42,46,17
16,30020,34480,38940,25150,18:10:00,4,46,55,19
17,38425,44135,49845,32190,21:00:00,4,50,67,21
18,49180,56490,63805,41205,24:45:00,4,54,80,23
19,62950,72310,81670,52745,28:35:00,4,58,96,25
20,80580,92555,104535,67510,32:25:00,4,62,115,30
