1,460,510,600,320,00:11:00,3,3,4,100
2,590,655,770,410,00:16:00,2,5,4,90
3,755,835,985,525,00:22:30,2,7,5,81
4,965,1070,1260,670,00:33:00,2,9,6,73
5,1235,1370,1610,860,01:04:00,2,11,7,66
6,1580,1750,2060,1100,02:15:00,2,13,9,59
7,2025,2245,2640,1405,03:15:00,2,15,11,53
8,2590,2870,3380,1800,04:25:00,2,17,13,48
9,3315,3675,4325,2305,05:20:00,2,19,15,43
10,4245,4705,5535,2950,06:05:00,2,21,19,39
11,5430,6020,7085,3780,07:25:00,3,24,22,35
12,6950,7705,9065,4835,08:40:00,3,27,27,31
13,8900,9865,11605,6190,10:15:00,3,30,32,28
14,11390,12625,14855,7925,11:30:00,3,33,39,25
15,14580,16165,19015,10140,13:20:00,3,36,46,23
16,18660,20690,24340,12980,14:55:00,3,39,55,21
17,23885,26480,31155,16615,17:15:00,3,42,67,19
18,30570,33895,39875,21270,20:20:00,3,45,80,17
19,39130,43385,51040,27225,23:25:00,3,48,96,15
20,50090,55535,65335,34845,26:30:00,3,51,115,14
